"StationID","NumOfBus","NumOfPeo","X","Y"
100000001,3,4060,126.9877498816,37.5697651251
100000002,18,2475,126.9965660023,37.5791830159
100000003,18,801,126.9983401004,37.5826711749
100000004,4,3790,126.9876130976,37.5685792736
100000005,16,451,127.001744,37.586243
100000006,3,1552,126.9693634554,37.5875502159
100000007,6,2892,126.9702653687,37.5832657654
100000008,3,1,126.9697701102,37.5871907861
100000009,3,2109,126.9710436571,37.585113193
100000010,3,425,126.9725135095,37.5878519552
100000011,3,1530,126.9671261805,37.5921866176
100000012,3,1260,126.9671906625,37.5923353152
100000013,3,416,126.9724613198,37.5881285775
100000014,3,1580,126.9711546793,37.5849663426
100000015,6,2757,126.9710500404,37.5803257033
100000016,6,2483,126.9713851083,37.5805132118
100000017,6,2642,126.9706209712,37.583091043
100000018,6,1380,126.9679907155,37.5751355316
100000019,6,492,126.9713244962,37.5761834563
100000020,6,4,126.97219601,37.5768666917
100000021,6,7203,126.9722828893,37.5776713863
100000022,8,317,126.9787471496,37.5755767894
100000023,8,2672,126.9773193291,37.5724064843
100000025,4,5200,126.9763838838,37.569845398
100000028,7,2452,126.971248,37.570023
100000029,2,1971,126.9731335513,37.5702880403
100000030,1,2000,126.975837,37.570365
100000031,15,5123,126.9765652658,37.5726577416
100000032,9,2407,126.9714842989,37.5757446636
100000033,9,3174,126.968188961,37.5748553458
100000034,4,2396,126.9765458935,37.569450752
100000035,7,2032,126.9820170203,37.5759017489
100000036,4,360,126.9839957858,37.5760695565
100000037,4,2283,126.9608880061,37.6046629766
100000038,7,2784,126.9612198463,37.6025022799
100000039,3,2155,126.9587223861,37.6007325989
100000040,3,1966,126.958570225,37.5994133537
100000041,7,1470,126.9617068235,37.5981330665
100000042,6,3,126.9636434993,37.5955935123
100000043,3,2636,126.9639574356,37.5927380599
100000044,3,1779,126.9651419211,37.5927861733
100000045,6,0,126.9639775924,37.5955575712
100000046,6,1263,126.962215308,37.5981476478
100000047,4,1379,126.9592405649,37.5996163318
100000048,4,2528,126.9589342697,37.6005524553
100000049,7,2857,126.9614328894,37.6022680671
100000051,4,2495,126.9612088135,37.6047191923
100000053,3,164,126.9563059978,37.6115844138
100000054,3,611,126.9564575503,37.6100355035
100000055,3,2312,126.9562103294,37.6086098941
100000056,2,2891,126.9564166508,37.6083054034
100000057,5,1625,126.9585297928,37.6069644475
100000058,5,243,126.9591017479,37.6070088003
100000059,3,311,126.956482,37.61148
100000060,5,1106,126.9635350292,37.6043709709
100000061,5,2635,126.9660432906,37.6053223656
100000062,6,446,126.9695663093,37.6066073749
100000063,5,64,126.9729985215,37.6087663115
100000064,5,1992,126.9764662019,37.6104295575
100000065,5,1508,126.976652,37.610248
100000066,5,888,126.972797,37.60819
100000067,5,1327,126.97,37.606517
100000068,5,1943,126.9676276108,37.6057787606
100000069,5,1561,126.9648102665,37.6045038178
100000072,2,2179,126.9594644024,37.5732126863
100000073,6,1459,126.9645273358,37.5682538056
100000075,1,5135,126.9615632709,37.5711733169
100000076,8,4978,126.9885394479,37.5775405746
100000077,1,4484,126.9802681756,37.5692423794
100000078,1,588,126.9849267193,37.568684389
100000079,1,550,126.9906741813,37.5684371825
100000080,1,366,126.9964906282,37.5688691218
100000081,1,1181,126.9997973605,37.5694512793
100000102,11,2875,126.9973383362,37.5745325055
100000103,9,417,126.9878777332,37.5771946373
100000104,8,612,126.9842425956,37.5757849018
100000105,7,1718,126.9832244185,37.5723660209
100000106,6,4588,126.9828258888,37.5724858087
100000107,3,2136,126.9827201116,37.5746105669
100000108,12,1291,127.00223,37.5745
100000109,11,3776,127.0021442279,37.5728790133
100000116,3,2702,127.0021826522,37.5705596025
100000117,1,1028,127.0028494203,37.5698351103
100000118,6,2531,127.0084126252,37.5717262368
100000119,7,1238,127.006278812,37.5740223509
100000121,3,1320,127.0063433807,37.5744602778
100000122,8,2780,127.000533,37.575873
100000123,19,639,127.002437,37.578043
100000124,19,834,127.0022769364,37.5811194873
100000125,7,8475,127.0019395272,37.5810636257
100000126,5,3289,127.0019937965,37.5781296741
100000127,4,619,127.0006951494,37.576119355
100000128,5,2858,126.9968717143,37.5788279947
100000129,6,332,127.0032708172,37.5759372914
100000130,2,4813,127.0007246792,37.5857646257
100000131,5,2625,126.9993987623,37.5833334862
100000132,5,6058,127.0013281701,37.584022814
100000133,16,1454,127.0017176887,37.5845697705
100000135,2,4519,127.0155555279,37.5740926792
100000139,1,495,127.0156014431,37.5716849566
100000140,1,2043,127.0158879092,37.5718984771
100000142,2,2191,127.015178,37.578413
100000143,2,5968,127.0155485759,37.5787720457
100000144,3,13339,127.0158023517,37.5741800523
100000147,6,4470,127.0227802373,37.5759288312
100000150,3,800,126.956622,37.609682
100000151,3,4763,126.9977437946,37.5694963125
100000153,2,1364,126.9974787875,37.5725807445
100000154,2,3782,126.9721318077,37.5699003386
100000155,1,415,126.9937793705,37.5686887917
100000156,1,2123,127.0080377075,37.5699303868
100000157,1,1690,127.0129554377,37.5699975315
100000158,1,1844,127.0182311268,37.5709465856
100000159,4,3059,126.9982146839,37.5757228744
100000165,5,1040,127.0204373408,37.5742721533
100000169,1,10004,126.9831609226,37.572800338
100000174,2,10591,126.9763658004,37.5733335205
100000179,3,1403,127.002955,37.576257
100000180,4,1217,126.9550207178,37.6016197182
100000181,3,811,126.9558882973,37.6130503244
100000188,2,0,126.9597921957,37.5994435122
100000189,4,1796,126.9581941404,37.5995718125
100000190,7,1422,127.0065911394,37.5724174899
100000191,2,2091,127.0231182769,37.5743860974
100000192,1,967,126.9872214307,37.5684458702
100000193,1,2333,127.0227870051,37.5721307298
100000329,1,0,126.9738331615,37.5703260433
100000330,4,1868,126.980129,37.57037
100000331,1,0,0.0,0.0
100000333,1,0,126.9855751378,37.5699685262
100000334,1,0,126.9931553118,37.5705896376
100000335,1,0,126.9909932186,37.5701024255
100000336,1,0,126.9968799905,37.5704208133
100000338,1,0,127.0032060634,37.5707920608
100000343,1,0,126.9715056448,37.5761780936
100000344,1,0,126.971315603,37.5757554359
100000345,1,0,126.985229602,37.5766137515
100000346,1,0,126.9855059829,37.5763185096
100000347,1,0,126.9887919183,37.5775279022
100000348,1,0,126.9997033431,37.5835875947
100000355,5,1133,126.978368,37.610967
100000360,1,0,126.9974492169,37.5765581609
100000362,15,2513,126.963006327,37.5696103835
100000363,18,3861,126.9625329584,37.5699391328
100000364,1,2822,127.0178163138,37.5737292199
100000365,22,0,127.0120461121,37.5719529259
100000366,18,917,127.0184514373,37.5737255179
100000367,23,5787,127.0196720085,37.5742434484
100000368,6,3545,126.9675878497,37.5671081521
100000369,4,3176,126.984768262,37.5764011758
100000370,2,2533,126.9855365486,37.5763329308
100000371,1,0,126.9890031166,37.5772280879
100000374,1,0,126.9765653997,37.5722306242
100000375,1,0,126.983156342,37.5730319178
100000376,1,2022,126.9686004828,37.568145927
100000379,9,0,126.970609,37.569412
100000380,19,3146,126.97038,37.569135
100000384,17,4710,126.9752507511,37.570135474
100000385,14,2267,126.978085488,37.570216807
100000386,16,4503,126.9809105247,37.5701184824
100000387,17,2844,126.9813906402,37.5702290311
100000388,22,0,126.9855426998,37.5701386788
100000389,22,2562,126.9862474502,37.5702571998
100000390,19,684,126.9895646721,37.5702449756
100000391,19,1333,126.9899877751,37.5703605443
100000392,19,2464,126.9947218896,37.5705069968
100000393,16,0,126.9952838124,37.5706271118
100000394,20,3788,126.9988498093,37.570756793
100000395,14,1466,126.9993346185,37.5708806279
100000396,14,1667,127.0034638793,37.5709624756
100000397,15,0,127.0057137364,37.5711272339
100000398,24,3786,127.0134512388,37.5723023219
100000399,1,0,127.0094731042,37.5703018655
100900002,1,238,126.9579482257,37.6018640911
100900003,2,343,126.9998516643,37.5872532276
100900004,1,3299,126.9952305162,37.5887246101
100900005,1,1056,126.9695411172,37.5794963204
100900006,1,510,126.9576665157,37.6033399708
100900007,1,1975,126.9812510491,37.581813662
100900008,1,1837,126.9937685575,37.5897680031
100900009,1,543,126.997541081,37.571747236
100900010,1,521,126.9574633677,37.6040715802
100900011,1,1937,126.9878088426,37.583080553
100900012,1,807,126.9934084203,37.5902545716
100900013,1,5293,127.0127581151,37.5812647965
100900014,1,40,126.9575782035,37.6052835831
100900015,1,918,126.9640686009,37.5687871134
100900016,1,124,126.9622629001,37.6070621164
100900017,2,772,126.9988619666,37.5897456349
100900018,1,101,126.9579809335,37.6061334517
100900019,1,558,126.958756466,37.6066987064
100900020,1,2925,126.9687504304,37.5804530718
100900021,1,2096,126.9936043615,37.5897914226
100900022,1,131,126.9607859545,37.6048873133
100900023,1,217,126.965686732,37.604859104
100900024,1,3768,126.9819071619,37.5842638281
100900025,1,115,126.9614907597,37.6042522792
100900026,1,1220,126.9893714358,37.582659895
100900027,3,974,127.0014561074,37.5834632357
100900028,2,92,127.0019926794,37.5786973612
100900029,1,323,126.9652007897,37.6049806084
100900030,1,1448,126.9978748922,37.5773060748
100900031,2,614,126.9972902593,37.5890715947
100900032,1,1921,126.9932227051,37.5903095275
100900033,2,1462,127.0022087811,37.5736413355
100900034,1,6235,126.966603478,37.5809967425
100900035,1,2784,126.9815691643,37.5865984991
100900036,1,162,126.9648837454,37.6048011982
100900037,1,1336,126.9893670844,37.5814109836
100900038,1,1643,126.9977741191,37.5776016307
